Compound,Receptor,Concentration_uM,Replicate,Fold_induction
F-53B,PXR,75.0,3,1.9951
F-53B,PXR,75.0,4,1.9224
F-53B,PXR,75.0,5,2.2349
F-53B,PXR,75.0,6,2.4415
F-53B,PXR,75.0,7,2.0415
F-53B,PXR,75.0,8,2.5014
F-53B,PXR,75.0,9,2.0052
F-53B,PXR,100.0,1,2.3414
F-53B,PXR,100.0,2,2.4582
F-53B,PXR,100.0,3,2.0528
F-53B,PXR,100.0,4,1.9059
F-53B,PXR,100.0,5,2.4291
F-53B,PXR,100.0,6,2.4331
F-53B,PXR,100.0,7,2.3581
F-53B,PXR,100.0,8,2.0099
F-53B,PXR,100.0,9,2.1141
GenX,PPAR-a,0.3,1,0.9345
GenX,PPAR-a,0.3,2,1.2481
GenX,PPAR-a,0.3,3,0.9952
GenX,PPAR-a,0.3,4,1.2581
GenX,PPAR-a,0.3,5,1.1141
GenX,PPAR-a,0.3,6,0.9834
GenX,PPAR-a,0.3,7,1.2411
GenX,PPAR-a,0.3,8,0.991
GenX,PPAR-a,0.3,9,0.9825
GenX,PPAR-a,1.0,1,1.1234
GenX,PPAR-a,1.0,2,1.1497
GenX,PPAR-a,1.0,3,1.1992
GenX,PPAR-a,1.0,4,0.9614
GenX,PPAR-a,1.0,5,0.9894
GenX,PPAR-a,1.0,6,1.0048
GenX,PPAR-a,1.0,7,1.2458
GenX,PPAR-a,1.0,8,1.1892
GenX,PPAR-a,1.0,9,1.1033
GenX,PPAR-a,3.0,1,1.3281
GenX,PPAR-a,3.0,2,1.031
GenX,PPAR-a,3.0,3,1.1391
GenX,PPAR-a,3.0,4,1.3131
GenX,PPAR-a,3.0,5,0.9939
GenX,PPAR-a,3.0,6,1.0088
GenX,PPAR-a,3.0,7,1.1225
GenX,PPAR-a,3.0,8,1.101
GenX,PPAR-a,3.0,9,0.9658
GenX,PPAR-a,10.0,1,1.3108
GenX,PPAR-a,10.0,2,0.9897
GenX,PPAR-a,10.0,3,1.2515
GenX,PPAR-a,10.0,4,1.0503
GenX,PPAR-a,10.0,5,1.3076
GenX,PPAR-a,10.0,6,1.4656
GenX,PPAR-a,10.0,7,1.3099
GenX,PPAR-a,10.0,8,1.0487
GenX,PPAR-a,10.0,9,1.1715
GenX,PPAR-a,20.0,1,1.3233
GenX,PPAR-a,20.0,2,1.3577
GenX,PPAR-a,20.0,3,1.5599
GenX,PPAR-a,20.0,4,1.5917
GenX,PPAR-a,20.0,5,1.5811
GenX,PPAR-a,20.0,6,1.4014
GenX,PPAR-a,20.0,7,1.345
GenX,PPAR-a,20.0,8,1.5019
GenX,PPAR-a,20.0,9,1.4949
GenX,PPAR-a,50.0,1,1.591
GenX,PPAR-a,50.0,2,1.5758
GenX,PPAR-a,50.0,3,1.515
GenX,PPAR-a,50.0,4,1.7441
GenX,PPAR-a,50.0,5,1.8238
GenX,PPAR-a,50.0,6,1.6045
GenX,PPAR-a,50.0,7,1.6341
GenX,PPAR-a,50.0,8,1.7219
GenX,PPAR-a,50.0,9,1.7419
GenX,PPAR-a,75.0,1,1.7715
GenX,PPAR-a,75.0,2,1.8719
GenX,PPAR-a,75.0,3,1.8331
GenX,PPAR-a,75.0,4,1.8317
GenX,PPAR-a,75.0,5,1.9919
GenX,PPAR-a,75.0,6,1.6156
GenX,PPAR-a,75.0,7,1.6418
GenX,PPAR-a,75.0,8,1.8134
GenX,PPAR-a,75.0,9,1.7814
GenX,PPAR-a,100.0,1,1.8894
GenX,PPAR-a,100.0,2,1.7749
GenX,PPAR-a,100.0,3,1.8614
GenX,PPAR-a,100.0,4,1.9175
GenX,PPAR-a,100.0,5,1.9606
GenX,PPAR-a,100.0,6,1.891
GenX,PPAR-a,100.0,7,1.8315
GenX,PPAR-a,100.0,8,1.939
GenX,PPAR-a,100.0,9,1.9441
GenX,PXR,0.3,1,0.9901
GenX,PXR,0.3,2,1.1525
GenX,PXR,0.3,3,1.2515
GenX,PXR,0.3,4,0.9757
GenX,PXR,0.3,5,1.151
GenX,PXR,0.3,6,1.0025
GenX,PXR,0.3,7,1.0099
GenX,PXR,0.3,8,1.1151
GenX,PXR,0.3,9,1.1252
GenX,PXR,1.0,1,1.02
GenX,PXR,1.0,2,1.0492
GenX,PXR,1.0,3,1.3515
GenX,PXR,1.0,4,1.2344
GenX,PXR,1.0,5,1.1949
GenX,PXR,1.0,6,1.205
GenX,PXR,1.0,7,1.2113
GenX,PXR,1.0,8,1.1745
GenX,PXR,1.0,9,1.0234
GenX,PXR,3.0,1,1.7153
GenX,PXR,3.0,2,1.7725
GenX,PXR,3.0,3,1.5256
GenX,PXR,3.0,4,1.6652
GenX,PXR,3.0,5,1.5025
GenX,PXR,3.0,6,1.9521
GenX,PXR,3.0,7,1.6969
GenX,PXR,3.0,8,1.5215
GenX,PXR,3.0,9,1.605
GenX,PXR,10.0,1,3.221
GenX,PXR,10.0,2,3.4294
GenX,PXR,10.0,3,2.8428
GenX,PXR,10.0,4,3.1045
GenX,PXR,10.0,5,3.0019
GenX,PXR,10.0,6,3.3131
GenX,PXR,10.0,7,3.04
GenX,PXR,10.0,8,3.3315
GenX,PXR,10.0,9,3.1045
GenX,PXR,20.0,1,4.4152
GenX,PXR,20.0,2,4.2485
GenX,PXR,20.0,3,5.1942
GenX,PXR,20.0,4,4.5894
GenX,PXR,20.0,5,4.7517
GenX,PXR,20.0,6,4.4481
GenX,PXR,20.0,7,4.2458
GenX,PXR,20.0,8,5.0048
GenX,PXR,20.0,9,4.4819
GenX,PXR,50.0,1,5.904
GenX,PXR,50.0,2,6.4894
GenX,PXR,50.0,3,6.0481
GenX,PXR,50.0,4,6.7571
GenX,PXR,50.0,5,6.9919
GenX,PXR,50.0,6,6.0401
GenX,PXR,50.0,7,6.1839
GenX,PXR,50.0,8,6.4891
GenX,PXR,50.0,9,5.9949
GenX,PXR,75.0,1,7.2241
GenX,PXR,75.0,2,6.9689
GenX,PXR,75.0,3,6.6991
GenX,PXR,75.0,4,7.5329
GenX,PXR,75.0,5,7.0401
GenX,PXR,75.0,6,7.4937
GenX,PXR,75.0,7,8.0401
GenX,PXR,75.0,8,7.1388
GenX,PXR,75.0,9,7.7591
GenX,PXR,100.0,1,6.5171
GenX,PXR,100.0,2,8.5464
GenX,PXR,100.0,3,8.4497
GenX,PXR,100.0,4,8.1485
GenX,PXR,100.0,5,7.4913
GenX,PXR,100.0,6,6.6848
GenX,PXR,100.0,7,8.8587
GenX,PXR,100.0,8,8.9433
GenX,PXR,100.0,9,8.5514
HFPO-TA,PPAR-a,0.3,1,0.9489
HFPO-TA,PPAR-a,0.3,2,0.9949
HFPO-TA,PPAR-a,0.3,3,1.2591
HFPO-TA,PPAR-a,0.3,4,1.0058
HFPO-TA,PPAR-a,0.3,5,0.9351
HFPO-TA,PPAR-a,0.3,6,1.1521
HFPO-TA,PPAR-a,0.3,7,1.2001
HFPO-TA,PPAR-a,0.3,8,1.2311
HFPO-TA,PPAR-a,0.3,9,0.9574
HFPO-TA,PPAR-a,1.0,1,1.2341
HFPO-TA,PPAR-a,1.0,2,1.4414
HFPO-TA,PPAR-a,1.0,3,1.3333
HFPO-TA,PPAR-a,1.0,4,1.205
HFPO-TA,PPAR-a,1.0,5,1.1005
HFPO-TA,PPAR-a,1.0,6,1.4591
HFPO-TA,PPAR-a,1.0,7,1.3458
HFPO-TA,PPAR-a,1.0,8,1.2291
HFPO-TA,PPAR-a,1.0,9,1.1592
HFPO-TA,PPAR-a,3.0,1,2.1456
HFPO-TA,PPAR-a,3.0,2,1.8581
HFPO-TA,PPAR-a,3.0,3,1.8851
HFPO-TA,PPAR-a,3.0,4,2.2594
HFPO-TA,PPAR-a,3.0,5,1.9601
HFPO-TA,PPAR-a,3.0,6,2.0673
HFPO-TA,PPAR-a,3.0,7,1.8481
HFPO-TA,PPAR-a,3.0,8,1.995
HFPO-TA,PPAR-a,3.0,9,1.8184
HFPO-TA,PPAR-a,10.0,1,3.6995
HFPO-TA,PPAR-a,10.0,2,3.9591
HFPO-TA,PPAR-a,10.0,3,3.4575
HFPO-TA,PPAR-a,10.0,4,3.5551
HFPO-TA,PPAR-a,10.0,5,3.9529
HFPO-TA,PPAR-a,10.0,6,3.6819
HFPO-TA,PPAR-a,10.0,7,4.01
HFPO-TA,PPAR-a,10.0,8,3.9174
HFPO-TA,PPAR-a,10.0,9,3.4469
HFPO-TA,PPAR-a,20.0,1,4.5126
HFPO-TA,PPAR-a,20.0,2,4.9951
HFPO-TA,PPAR-a,20.0,3,5.1561
HFPO-TA,PPAR-a,20.0,4,5.3315
HFPO-TA,PPAR-a,20.0,5,5.5184
HFPO-TA,PPAR-a,20.0,6,4.3656
HFPO-TA,PPAR-a,20.0,7,5.4441
HFPO-TA,PPAR-a,20.0,8,4.5027
HFPO-TA,PPAR-a,20.0,9,5.5515
HFPO-TA,PPAR-a,50.0,1,6.9591
HFPO-TA,PPAR-a,50.0,2,7.3859
HFPO-TA,PPAR-a,50.0,3,7.3328
HFPO-TA,PPAR-a,50.0,4,7.004
HFPO-TA,PPAR-a,50.0,5,6.9173
HFPO-TA,PPAR-a,50.0,6,6.1157
HFPO-TA,PPAR-a,50.0,7,7.1954
HFPO-TA,PPAR-a,50.0,8,7.2145
HFPO-TA,PPAR-a,50.0,9,7.4418
HFPO-TA,PPAR-a,75.0,1,8.8834
HFPO-TA,PPAR-a,75.0,2,8.1484
HFPO-TA,PPAR-a,75.0,3,7.9959
HFPO-TA,PPAR-a,75.0,4,9.1198
HFPO-TA,PPAR-a,75.0,5,7.0148
HFPO-TA,PPAR-a,75.0,6,8.9107
HFPO-TA,PPAR-a,75.0,7,7.9258
HFPO-TA,PPAR-a,75.0,8,8.5782
HFPO-TA,PPAR-a,75.0,9,8.6337
HFPO-TA,PPAR-a,100.0,1,7.8208
HFPO-TA,PPAR-a,100.0,2,8.5881
HFPO-TA,PPAR-a,100.0,3,9.0653
HFPO-TA,PPAR-a,100.0,4,7.909
HFPO-TA,PPAR-a,100.0,5,8.5717
HFPO-TA,PPAR-a,100.0,6,9.0049
HFPO-TA,PPAR-a,100.0,7,8.7152
HFPO-TA,PPAR-a,100.0,8,9.149
HFPO-TA,PPAR-a,100.0,9,8.2315
HFPO-TA,PXR,0.3,1,0.9941
HFPO-TA,PXR,0.3,2,1.2214
HFPO-TA,PXR,0.3,3,0.8941
HFPO-TA,PXR,0.3,4,0.9747
HFPO-TA,PXR,0.3,5,1.2491
HFPO-TA,PXR,0.3,6,1.04
HFPO-TA,PXR,0.3,7,0.9104
HFPO-TA,PXR,0.3,8,1.1104
HFPO-TA,PXR,0.3,9,1.0241
HFPO-TA,PXR,1.0,1,0.825
HFPO-TA,PXR,1.0,2,1.3145
HFPO-TA,PXR,1.0,3,1.1458
HFPO-TA,PXR,1.0,4,1.0001
HFPO-TA,PXR,1.0,5,1.2858
HFPO-TA,PXR,1.0,6,1.059
HFPO-TA,PXR,1.0,7,1.1009
HFPO-TA,PXR,1.0,8,0.9149
HFPO-TA,PXR,1.0,9,1.3313
HFPO-TA,PXR,3.0,1,1.01
HFPO-TA,PXR,3.0,2,1.2495
HFPO-TA,PXR,3.0,3,0.9491
HFPO-TA,PXR,3.0,4,1.04
HFPO-TA,PXR,3.0,5,1.2224
HFPO-TA,PXR,3.0,6,0.9769
HFPO-TA,PXR,3.0,7,0.996
HFPO-TA,PXR,3.0,8,1.2459
HFPO-TA,PXR,3.0,9,1.052
HFPO-TA,PXR,10.0,1,1.2241
HFPO-TA,PXR,10.0,2,1.0435
HFPO-TA,PXR,10.0,3,0.9495
HFPO-TA,PXR,10.0,4,1.3314
HFPO-TA,PXR,10.0,5,1.2488
HFPO-TA,PXR,10.0,6,1.4249
HFPO-TA,PXR,10.0,7,1.1425
HFPO-TA,PXR,10.0,8,1.3592
HFPO-TA,PXR,10.0,9,1.2489
HFPO-TA,PXR,20.0,1,1.5023
HFPO-TA,PXR,20.0,2,1.2589
HFPO-TA,PXR,20.0,3,1.0501
HFPO-TA,PXR,20.0,4,1.401
HFPO-TA,PXR,20.0,5,1.3325
HFPO-TA,PXR,20.0,6,1.5159
HFPO-TA,PXR,20.0,7,1.3521
HFPO-TA,PXR,20.0,8,1.2251
HFPO-TA,PXR,20.0,9,1.7762
HFPO-TA,PXR,50.0,1,2.1259
HFPO-TA,PXR,50.0,2,2.5424
HFPO-TA,PXR,50.0,3,2.005
HFPO-TA,PXR,50.0,4,1.725
HFPO-TA,PXR,50.0,5,1.9952
HFPO-TA,PXR,50.0,6,2.3051
HFPO-TA,PXR,50.0,7,2.5004
HFPO-TA,PXR,50.0,8,1.8417
HFPO-TA,PXR,50.0,9,1.6292
HFPO-TA,PXR,75.0,1,2.5772
HFPO-TA,PXR,75.0,2,2.0251
HFPO-TA,PXR,75.0,3,2.6959
HFPO-TA,PXR,75.0,4,2.3358
HFPO-TA,PXR,75.0,5,2.8158
HFPO-TA,PXR,75.0,6,2.2521
HFPO-TA,PXR,75.0,7,2.6919
HFPO-TA,PXR,75.0,8,2.5725
HFPO-TA,PXR,75.0,9,2.7298
HFPO-TA,PXR,100.0,1,2.8852
HFPO-TA,PXR,100.0,2,3.052
